GEOID,county,year,pop,HIDTA,MSA,MUA,HPSA,Illicit opioid overdose deaths,People served by treatment programs,Drug overdose ED visits,Patients receiving buprenorphine,Acute HepC,AcuteHepCpdf,ChronicHepC,HIV
37083,Halifax,2020,50010,0,1,1,0,18,314,106,199,0,0,48,9
37085,Harnett,2020,135976,0,1,1,1,45,428,235,786,0,0,132,8
37087,Haywood,2020,62317,0,1,1,0,10,506,81,713,0,0,110,2
37089,Henderson,2020,117417,1,1,1,0,27,489,100,635,0,0,152,2
37091,Hertford,2020,23677,0,0,1,0,5,61,10,194,0,0,22,1
37093,Hoke,2020,55234,0,1,1,0,13,140,65,191,0,0,32,8
37095,Hyde,2020,4937,0,0,1,1,1,,3,23,0,0,9,0
37097,Iredell,2020,181806,0,1,0,0,30,781,205,1189,2,2,146,12
37099,Jackson,2020,43938,0,1,0,0,20,229,57,294,1,3,65,2
37101,Johnston,2020,209339,1,1,1,1,35,736,203,685,4,4,178,12
37103,Jones,2020,9419,0,1,1,0,0,63,17,57,0,0,12,0
37105,Lee,2020,61779,0,1,0,0,26,343,205,650,0,0,83,5
37107,Lenoir,2020,55949,0,1,1,0,16,225,75,272,0,0,42,4
37109,Lincoln,2020,86111,0,1,0,0,12,410,109,616,0,0,72,3
37113,Macon,2020,35858,0,0,1,0,6,165,33,243,1,1,66,4
37115,Madison,2020,21755,0,1,1,0,4,166,30,113,0,0,43,0
37117,Martin,2020,22440,0,0,1,0,6,102,15,149,0,0,13,5
37111,McDowell,2020,45756,1,1,1,0,5,367,78,455,0,0,82,0
37119,Mecklenburg,2020,1110356,1,1,0,0,167,2124,1475,1892,4,4,614,209
37121,Mitchell,2020,14964,0,0,1,0,3,127,9,369,0,0,21,0
37123,Montgomery,2020,27173,0,0,1,1,6,181,76,264,0,0,22,5
37125,Moore,2020,100880,0,1,0,0,21,627,114,699,1,1,91,8
37127,Nash,2020,94298,0,1,1,0,22,360,136,331,1,1,103,11
37129,New Hanover,2020,234473,0,1,0,0,84,1758,317,1780,1,1,272,23
37131,Northampton,2020,19483,0,1,1,0,5,,24,22,0,0,16,0
37133,Onslow,2020,197938,0,1,1,1,46,724,212,997,0,0,195,25
37135,Orange,2020,148476,0,1,0,0,18,447,113,488,0,0,150,10
37137,Pamlico,2020,12726,0,1,1,0,10,92,31,81,0,0,12,0
37139,Pasquotank,2020,39824,0,1,0,0,20,251,100,99,2,1,39,6
37141,Pender,2020,63060,0,1,1,0,14,338,70,504,1,0,63,5
37143,Perquimans,2020,13463,0,1,1,0,8,66,29,44,0,0,15,0
37145,Person,2020,39490,0,1,1,1,7,223,48,443,0,0,35,3
37147,Pitt,2020,180742,0,1,1,0,48,842,285,1088,1,1,180,22
37149,Polk,2020,20724,0,0,1,0,4,59,21,125,0,0,15,2
37151,Randolph,2020,143667,1,1,0,0,67,927,310,807,3,3,166,6
37153,Richmond,2020,44829,0,1,1,0,17,549,153,717,1,1,51,4
37155,Robeson,2020,130625,0,1,1,1,72,1664,644,1358,0,0,149,18
37157,Rockingham,2020,91010,1,1,1,0,42,695,214,701,0,0,96,3
37159,Rowan,2020,142088,0,1,0,0,58,929,244,1046,2,2,193,10
37161,Rutherford,2020,67029,0,1,1,0,14,276,83,448,0,0,84,1
37163,Sampson,2020,63531,0,0,1,0,7,148,91,289,0,0,53,6
37165,Scotland,2020,34823,0,1,1,0,9,377,115,334,2,1,39,9
37167,Stanly,2020,62806,0,1,0,0,24,503,145,424,0,0,38,1
37169,Stokes,2020,45591,0,1,1,0,23,314,102,276,1,1,46,2
37171,Surry,2020,71783,0,1,0,0,14,600,133,650,5,5,91,5
37173,Swain,2020,14271,0,1,1,0,7,106,38,329,2,1,54,0
37175,Transylvania,2020,34385,0,1,0,0,5,173,31,332,0,0,52,2
37177,Tyrrell,2020,4016,0,0,1,1,1,12,4,14,0,0,3,0
37179,Union,2020,239859,1,1,1,0,35,619,293,593,2,2,86,10
37181,Vance,2020,44535,0,1,1,0,16,571,73,326,0,0,59,5
37183,Wake,2020,1111761,1,1,0,0,160,2264,959,2688,2,2,754,134
37185,Warren,2020,19731,0,0,1,0,8,81,12,51,0,0,11,5
37187,Washington,2020,11580,0,0,1,0,1,37,8,50,0,0,10,3
37189,Watauga,2020,56177,0,1,0,0,7,189,23,177,0,0,41,2
37191,Wayne,2020,123131,1,1,1,0,21,476,175,370,0,0,99,11
37193,Wilkes,2020,68412,0,1,1,0,15,1042,91,965,3,3,98,4
37195,Wilson,2020,81801,1,1,1,0,19,492,136,209,0,0,78,18
37197,Yadkin,2020,37667,0,1,1,0,13,306,64,371,3,3,51,3
37199,Yancey,2020,18069,0,0,1,0,3,165,14,283,0,0,39,0
37001,Alamance,2021,169509,1,1,0,0,50,627,320,751,,2,186,26
37003,Alexander,2021,37497,0,1,1,0,6,301,54,467,,0,40,1
37005,Alleghany,2021,11137,0,0,1,0,1,45,13,73,,0,21,2
37007,Anson,2021,24446,0,1,1,0,5,63,25,86,,0,27,4
37009,Ashe,2021,27203,0,0,1,0,2,189,20,283,,0,31,1
37011,Avery,2021,17557,0,0,1,0,0,106,19,268,,0,23,1
37013,Beaufort,2021,46994,0,1,1,0,16,422,90,785,,0,69,6
37015,Bertie,2021,18947,0,0,1,0,7,74,20,58,,0,52,5
37017,Bladen,2021,32722,0,0,1,0,19,282,49,336,,0,45,3
37019,Brunswick,2021,142820,0,1,1,0,40,1020,128,1367,,1,174,5
37021,Buncombe,2021,261191,1,1,0,0,94,2048,397,1951,,8,581,21
37023,Burke,2021,90485,0,1,0,0,44,604,234,902,,1,197,6
37025,Cabarrus,2021,216453,0,1,0,0,57,900,300,947,,0,104,24
37027,Caldwell,2021,82178,0,1,1,0,37,606,185,912,,2,149,2
37029,Camden,2021,10867,0,1,1,1,0,,7,14,,0,7,1
37031,Carteret,2021,69473,0,1,1,0,24,573,140,500,,0,110,6
37033,Caswell,2021,22604,0,0,1,0,3,99,21,95,,0,26,2
37035,Catawba,2021,159551,0,1,0,0,73,858,383,1405,,4,204,9
37037,Chatham,2021,74470,0,1,1,0,24,225,83,220,,0,80,6
37039,Cherokee,2021,28612,0,0,1,0,16,164,17,344,,0,85,0
37041,Chowan,2021,13943,0,0,1,0,2,55,18,38,,0,17,1
37043,Clay,2021,11231,0,0,1,0,5,,2,67,,1,10,0
37045,Cleveland,2021,97947,0,1,1,0,13,560,186,782,,0,82,8
37047,Columbus,2021,55508,0,0,1,0,34,576,114,792,,0,67,4
37049,Craven,2021,102139,0,1,1,0,57,727,191,697,,0,119,11
37051,Cumberland,2021,335509,0,1,0,0,178,1727,684,1188,,2,376,82
37053,Currituck,2021,27763,0,1,1,1,8,103,21,65,,0,29,2
37055,Dare,2021,37009,0,1,1,0,14,203,42,300,,0,68,0
37057,Davidson,2021,167609,0,1,0,0,100,1030,364,929,,4,275,12
37059,Davie,2021,42846,0,1,1,0,18,199,68,272,,0,36,5
37061,Duplin,2021,58741,0,0,1,0,12,104,65,221,,0,40,10
37063,Durham,2021,321488,1,1,0,0,93,1317,580,1401,,0,352,61
37065,Edgecombe,2021,51472,0,1,1,0,18,349,79,241,,1,67,9
37067,Forsyth,2021,382295,0,1,0,0,126,1444,662,1397,,1,313,64
37069,Franklin,2021,69685,0,1,1,0,16,288,100,295,,0,54,5
37071,Gaston,2021,224529,1,1,0,0,50,1399,386,1924,,14,354,30
37073,Gates,2021,11562,0,1,1,1,5,,6,20,,0,15,1
37075,Graham,2021,8441,0,0,1,1,3,83,8,142,,2,24,0
37077,Granville,2021,60443,0,1,1,0,18,287,92,291,,2,97,7
37079,Greene,2021,21069,0,0,1,0,4,80,20,63,,0,47,2
37081,Guilford,2021,537174,1,1,0,0,190,1590,942,1660,,0,463,135
37083,Halifax,2021,50010,0,1,1,0,11,291,106,199,,0,55,3
37085,Harnett,2021,135976,0,1,1,1,54,490,282,747,,1,151,12
37087,Haywood,2021,62317,0,1,1,0,19,542,88,705,,2,86,2
37089,Henderson,2021,117417,1,1,1,0,24,514,107,714,,0,132,11
37091,Hertford,2021,23677,0,0,1,0,2,77,21,178,,0,48,2
37093,Hoke,2021,55234,0,1,1,0,17,154,60,187,,1,35,9
37095,Hyde,2021,4937,0,0,1,1,0,15,4,25,,0,11,1
37097,Iredell,2021,181806,0,1,0,0,35,872,251,1264,,4,200,18
37099,Jackson,2021,43938,0,1,0,0,18,227,48,295,,1,78,0
37101,Johnston,2021,209339,1,1,1,1,49,760,237,727,,2,147,15
37103,Jones,2021,9419,0,1,1,0,2,69,25,75,,0,19,2
37105,Lee,2021,61779,0,1,0,0,34,383,145,588,,2,105,3
37107,Lenoir,2021,55949,0,1,1,0,17,232,57,250,,0,47,8
37109,Lincoln,2021,86111,0,1,0,0,27,422,157,648,,2,68,5
37113,Macon,2021,35858,0,0,1,0,15,259,49,257,,0,78,0
37115,Madison,2021,21755,0,1,1,0,4,199,36,149,,0,37,1
37117,Martin,2021,22440,0,0,1,0,6,116,14,155,,0,20,7
37111,McDowell,2021,45756,1,1,1,0,16,393,100,488,,0,106,1
37119,Mecklenburg,2021,1110356,1,1,0,0,189,2566,1539,1849,,0,548,278
37121,Mitchell,2021,14964,0,0,1,0,5,140,18,384,,0,32,1
37123,Montgomery,2021,27173,0,0,1,1,18,182,105,260,,1,20,0
37125,Moore,2021,100880,0,1,0,0,22,664,149,672,,2,82,4
37127,Nash,2021,94298,0,1,1,0,28,396,130,416,,1,131,17
37129,New Hanover,2021,234473,0,1,0,0,79,1879,326,1792,,5,268,26
37131,Northampton,2021,19483,0,1,1,0,2,41,21,31,,0,22,1
37133,Onslow,2021,197938,0,1,1,1,58,857,256,1069,,2,189,17
37135,Orange,2021,148476,0,1,0,0,20,490,122,525,,1,197,4
37137,Pamlico,2021,12726,0,1,1,0,8,87,46,87,,0,17,3
37139,Pasquotank,2021,39824,0,1,0,0,19,252,69,119,,0,32,7
37141,Pender,2021,63060,0,1,1,0,18,399,94,522,,1,73,3
37143,Perquimans,2021,13463,0,1,1,0,6,75,25,40,,0,10,0
37145,Person,2021,39490,0,1,1,1,6,232,73,427,,0,42,8
37147,Pitt,2021,180742,0,1,1,0,46,866,340,1101,,1,235,35
37149,Polk,2021,20724,0,0,1,0,2,65,18,123,,0,16,0
37151,Randolph,2021,143667,1,1,0,0,81,998,375,802,,2,185,8
37153,Richmond,2021,44829,0,1,1,0,32,610,179,728,,3,93,6
37155,Robeson,2021,130625,0,1,1,1,104,1779,747,1307,,0,165,24
37157,Rockingham,2021,91010,1,1,1,0,50,633,208,737,,0,98,2
37159,Rowan,2021,142088,0,1,0,0,68,919,278,1084,,4,214,13
37161,Rutherford,2021,67029,0,1,1,0,23,323,153,476,,0,94,2
37163,Sampson,2021,63531,0,0,1,0,17,169,95,290,,0,65,8
37165,Scotland,2021,34823,0,1,1,0,18,404,97,341,,0,52,6
37167,Stanly,2021,62806,0,1,0,0,20,368,117,461,,0,43,2
37169,Stokes,2021,45591,0,1,1,0,28,273,104,290,,1,67,2
37171,Surry,2021,71783,0,1,0,0,18,536,132,695,,1,99,0
37173,Swain,2021,14271,0,1,1,0,5,106,37,316,,2,31,0
37175,Transylvania,2021,34385,0,1,0,0,4,195,25,366,,0,49,2
37177,Tyrrell,2021,4016,0,0,1,1,1,19,1,14,,0,7,0
37179,Union,2021,239859,1,1,1,0,44,584,281,620,,2,79,9
37181,Vance,2021,44535,0,1,1,0,15,508,93,336,,1,57,5
37183,Wake,2021,1111761,1,1,0,0,180,2521,1135,2917,,3,805,162
37185,Warren,2021,19731,0,0,1,0,3,79,20,59,,0,13,3
37187,Washington,2021,11580,0,0,1,0,5,47,6,63,,0,15,1
37189,Watauga,2021,56177,0,1,0,0,6,232,32,199,,0,50,1
37191,Wayne,2021,123131,1,1,1,0,27,517,138,375,,0,146,21
37193,Wilkes,2021,68412,0,1,1,0,16,1099,124,946,,2,96,1
37195,Wilson,2021,81801,1,1,1,0,25,508,167,236,,0,99,18
37197,Yadkin,2021,37667,0,1,1,0,15,312,69,365,,0,64,3
37199,Yancey,2021,18069,0,0,1,0,3,170,14,297,,0,30,0
